"Handle","Title","Description","SEO Title","SEO Description","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","SKU","Quantity","Regular Price","Sale Price","Cost","Images","Variant Image","Status","Collections","URL","Tax","Created","Updated","Length","Width","Height","Weight"
"3-pink-flowers-ring","3 pink Flowers Ring ","<p>Gold plated&nbsp;</p>
<p>free size&nbsp;</p>","3 pink Flowers Ring ","",,,,,,,"",5,"420","250","","https://assets.wuiltstore.com/cmookc5ug002x01lu50kkayzp_IMG_6024.webp https://assets.wuiltstore.com/cmooke4uc003601lug2s12onw_IMG_6041.webp https://assets.wuiltstore.com/cmooke28e003401lu0dxy3tei_IMG_6015.webp","","ACTIVE","new collection,Jewelry,Rings","https://salmabehery.com/en/product/all/3-pink-flowers-ring","Global","2026-05-02T19:35:30.787Z","2026-05-15T21:52:35.015Z","","","",""
"3-rings-chain-gold-hand-chain","3 rings chain gold hand chain ","<p>Stainless steel&nbsp;</p>","3 rings chain gold hand chain ","",,,,,,,"",0,"660","400","","https://assets.wuiltstore.com/cmp72ab1r039b01k844kjbqma_IMG_7350.webp https://assets.wuiltstore.com/cmp72a9hc039901k8hcbf6g24_IMG_7369.webp","","ACTIVE","Jewelry,Hand Chains","https://salmabehery.com/en/product/all/3-rings-chain-gold-hand-chain","Global","2026-05-15T18:17:47.799Z","2026-05-15T18:17:47.853Z","","","",""
"3-rings-chain-silver-hand-chain","3 rings chain silver hand chain ","<p>Stainless steel&nbsp;</p>","3 rings chain silver hand chain ","",,,,,,,"",1,"660","400","","https://assets.wuiltstore.com/cmp72865e038u01k8988g3wto_IMG_7565.webp https://assets.wuiltstore.com/cmp728bte038y01k8h0b4cvrt_IMG_7569.webp https://assets.wuiltstore.com/cmp7289bf038w01k8cjtp9b7p_IMG_7570.webp","","ACTIVE","Jewelry,Hand Chains","https://salmabehery.com/en/product/all/3-rings-chain-silver-hand-chain","Global","2026-05-15T18:16:07.759Z","2026-05-15T18:16:07.812Z","","","",""
"2-star-ring-gold-plated","2 star ring gold plated ","<p>Gold plated&nbsp;</p>
<p>free size&nbsp;</p>","2 star ring gold plated ","",,,,,,,"",6,"300","200","","https://assets.wuiltstore.com/cmp6zrrx3033f01k8e05ygxdu_IMG_7600.webp https://assets.wuiltstore.com/cmp6zrf8i033d01k8b4up3za2_IMG_7672.webp","","ACTIVE","new collection,Jewelry,Rings","https://salmabehery.com/en/product/all/2-star-ring-gold-plated","Global","2026-05-15T16:50:14.932Z","2026-05-15T17:13:44.039Z","","","",""
"stainless-steel-ring-with-light-green-stone","Stainless steel ring with light green stone","<p>Stainless steel&nbsp;</p>
<p>free size&nbsp;</p>","Stainless steel ring with light green stone","",,,,,,,"",1,"300","185","","https://assets.wuiltstore.com/cmp6zyw1k033q01k84nj7d9mq_IMG_7677.webp","","ACTIVE","Jewelry,Rings","https://salmabehery.com/en/product/all/stainless-steel-ring-with-light-green-stone","Global","2026-05-15T17:12:55.760Z","2026-05-15T17:12:55.839Z","","","",""
"black-gold-plated-ring","Black gold plated ring","<p>Gold plated&nbsp;</p>
<p>free size&nbsp;</p>","Black gold plated ring","",,,,,,,"",1,"200","120","","https://assets.wuiltstore.com/cmp6zx0du033k01k8clu3b8ol_IMG_7676.webp","","ACTIVE","Jewelry,Rings","https://salmabehery.com/en/product/all/black-gold-plated-ring","Global","2026-05-15T17:11:28.434Z","2026-05-15T17:11:28.497Z","","","",""
"modern-gold-design-stainless-steel-ring","Modern gold design stainless steel ring","<p>Stainless steel&nbsp;</p>
<p>free size&nbsp;</p>","Modern gold design stainless steel ring","",,,,,,,"",6,"300","150","","https://assets.wuiltstore.com/cmp6zvetz033i01k87qt53iq9_IMG_7675.webp","","ACTIVE","new collection,Jewelry,Rings","https://salmabehery.com/en/product/all/modern-gold-design-stainless-steel-ring","Global","2026-05-15T17:10:13.537Z","2026-05-15T17:10:13.609Z","","","",""
"Aurora-Square-Ring","Aurora Square Ring","<p>gold plated</p>","Aurora Square Ring","Premium jewelry piece.",,,,,,,"",6,"400","280","","https://assets.wuiltstore.com/cmp6zlkwp033101k82am9ed5r_IMG_7669.webp https://assets.wuiltstore.com/cmp6zlnsb033301k89drtef1o_IMG_7581.webp","","ACTIVE","Jewelry,Rings","https://salmabehery.com/en/product/all/Aurora-Square-Ring","Global","2026-03-06T15:45:35.309Z","2026-05-15T17:04:15.827Z","","","",""
"Smiley-face-stainless-steel-ring","Smiley Face Stainless Steel Ring","<li>Stainless steel&nbsp;</li>","Smiley Face Stainless Steel Ring","Premium jewelry piece.",,,,,,,"",2,"185","150","","https://assets.wuiltstore.com/cmp6zh5dd032q01k8f6qq9yad_IMG_7611.webp","","ACTIVE","Jewelry,Rings","https://salmabehery.com/en/product/all/Smiley-face-stainless-steel-ring","Global","2026-03-06T15:45:35.309Z","2026-05-15T16:59:08.312Z","","","",""
"Big-white-vintage-ring-","Big White Vintage Ring","<div>stainless steel.</div>
<div>free size.</div>","Big White Vintage Ring","Premium jewelry piece.",,,,,,,"",6,"250","150","","https://assets.wuiltstore.com/cmp6zgfth032k01k89n6a1pth_IMG_7609.webp","","ACTIVE","Jewelry,Rings","https://salmabehery.com/en/product/all/Big-white-vintage-ring-","Global","2026-03-06T15:45:35.309Z","2026-05-15T16:58:34.957Z","","","",""
